爱,愛,to love; affection; to be fond of; to like,ài
八,八,eight; 8,bā
爸爸,爸爸,father (informal),bà ba
杯子,杯子,cup; glass,bēi zi
北京,北京,Beijing; capital of People's Republic of China,běi jīng
本,本,origin; source; classifier for books,běn
不客气,不客氣,you're welcome,bú kè qi
不,不,not (negative prefix); no,bù
菜,菜,dish (type of food); vegetables,cài
茶,茶,tea,chá
吃,吃,to eat,chī
出租车,出租車,taxi,chū zū chē
打电话,打電話,to make a phone call,dǎ diàn huà
大,大,big; huge; large,dà
的,的,of; structural particle,de
点,點,a little; a bit; o'clock,diǎn
电脑,電腦,computer,diàn nǎo
电视,電視,television; TV,diàn shì
电影,電影,movie; film,diàn yǐng
东西,東西,thing; stuff,dōng xi
都,都,all; both,dōu
读,讀,to read; to study,dú
对不起,對不起,I'm sorry; excuse me,duì bu qǐ
多,多,many; much,duō
多少,多少,how much; how many,duō shǎo
儿子,兒子,son,ér zi
二,二,two; 2,èr
饭店,飯店,restaurant; hotel,fàn diàn
飞机,飛機,airplane,fēi jī
分钟,分鐘,minute,fēn zhōng
高兴,高興,happy; glad,gāo xìng
个,個,classifier for people or objects,gè
工作,工作,job; work,gōng zuò
狗,狗,dog,gǒu
汉语,漢語,Chinese language,hàn yǔ
好,好,good; well,hǎo
号,號,day of a month; number,hào
喝,喝,to drink,hē
和,和,and; with,hé
很,很,very; quite,hěn
后面,後面,behind; back; rear,hòu miàn
回,回,to return; to go back,huí
会,會,can; to be able to,huì
火车站,火車站,train station,huǒ chē zhàn
几,幾,how many; several,jǐ
家,家,home; family,jiā
叫,叫,to be called; to call,jiào
今天,今天,today,jīn tiān
九,九,nine; 9,jiǔ
开,開,to open; to start,kāi
看,看,to look; to see,kàn
看见,看見,to see; to catch sight of,kàn jiàn
来,來,to come,lái
老师,老師,teacher,lǎo shī
了,了,particle indicating completed action,le
冷,冷,cold,lěng
里,裡,inside; in,lǐ
六,六,six; 6,liù
妈妈,媽媽,mother; mom,mā ma
吗,嗎,question particle,ma
买,買,to buy,mǎi
猫,貓,cat,māo
没关系,沒關係,it doesn't matter,méi guān xi
没有,沒有,not have; there isn't,méi yǒu
米饭,米飯,rice,mǐ fàn
明天,明天,tomorrow,míng tiān
名字,名字,name,míng zi
哪,哪,which; where,nǎ
哪儿,哪兒,where,nǎr
那,那,that,nà
那儿,那兒,there,nàr
男人,男人,man; male,nán rén
呢,呢,question particle,ne
能,能,can; to be able to,néng
你,你,you,nǐ
你们,你們,you (plural),nǐ men
年,年,year,nián
女人,女人,woman; female,nǚ rén
朋友,朋友,friend,péng yǒu
漂亮,漂亮,pretty; beautiful,piào liang
苹果,蘋果,apple,píng guǒ
七,七,seven; 7,qī
钱,錢,money,qián
前面,前面,in front; ahead,qián miàn
请,請,please; to invite,qǐng
去,去,to go,qù
热,熱,hot,rè
人,人,person; people,rén
认识,認識,to know; to recognize,rèn shi
三,三,three; 3,sān
商店,商店,shop; store,shāng diàn
上,上,up; above; on,shàng
上午,上午,morning; a.m.,shàng wǔ
少,少,few; little; less,shǎo
谁,誰,who,shéi
什么,什麼,what,shén me
十,十,ten; 10,shí
时候,時候,time; moment,shí hou
是,是,to be; yes,shì
书,書,book,shū
水,水,water,shuǐ
睡觉,睡覺,to sleep,shuì jiào
说,說,to speak; to say,shuō
四,四,four; 4,sì
岁,歲,years old,suì
他,他,he; him,tā
她,她,she; her,tā
太,太,too; extremely,tài
天气,天氣,weather,tiān qì
听,聽,to listen; to hear,tīng
同学,同學,classmate; schoolmate,tóng xué
我,我,I; me,wǒ
我们,我們,we; us,wǒ men
五,五,five; 5,wǔ
喜欢,喜歡,to like; to be fond of,xǐ huan
下,下,down; below; under,xià
下午,下午,afternoon; p.m.,xià wǔ
下雨,下雨,to rain,xià yǔ
先生,先生,Mr.; sir; gentleman,xiān sheng
现在,現在,now; at present,xiàn zài
想,想,to think; to want,xiǎng
小,小,small; little,xiǎo
小姐,小姐,Miss; young lady,xiǎo jiě
些,些,some; a few,xiē
写,寫,to write,xiě
谢谢,謝謝,thank you,xiè xie
星期,星期,week,xīng qī
学生,學生,student,xué sheng
学习,學習,to study; to learn,xué xí
学校,學校,school,xué xiào
一,一,one; 1,yī
一点儿,一點兒,a little bit,yī diǎnr
衣服,衣服,clothes,yī fu
医生,醫生,doctor,yī shēng
医院,醫院,hospital,yī yuàn
椅子,椅子,chair,yǐ zi
有,有,to have; there is,yǒu
月,月,month; moon,yuè
在,在,at; in; to be located,zài
再见,再見,goodbye,zài jiàn
怎么,怎麼,how; what,zěn me
怎么样,怎麼樣,how; how about,zěn me yàng
这,這,this,zhè
这儿,這兒,here,zhèr
中国,中國,China,zhōng guó
中午,中午,noon; midday,zhōng wǔ
住,住,to live; to stay,zhù
桌子,桌子,table; desk,zhuō zi
字,字,character; word,zì
走,走,to walk; to go,zǒu
最,最,most; -est,zuì
昨天,昨天,yesterday,zuó tiān
坐,坐,to sit,zuò
做,做,to do; to make,zuò
