挨,挨,āi,next to
癌症,癌症,áizhèng,cancer
暧昧,曖昧,àimèi,ambiguous
爱不释手,愛不釋手,àibùshìshǒu,can't put it down
爱戴,愛戴,àidài,to love and respect
安检,安檢,ānjiǎn,security check
按摩,按摩,ànmó,massage
罢工,罷工,bàgōng,strike
罢了,罷了,bàle,that's all
白领,白領,báilǐng,white collar
百分点,百分點,bǎifēndiǎn,percentage point
办公,辦公,bàngōng,work in office
办事处,辦事處,bànshìchù,office
绑架,綁架,bǎngjià,kidnap
磅,磅,bàng,pound
包庇,包庇,bāobì,harbor
保障,保障,bǎozhàng,guarantee
报复,報復,bàofù,revenge
爆发,爆發,bàofā,break out
悲惨,悲慘,bēicǎn,tragic
备份,備份,bèifèn,backup
奔波,奔波,bēnbō,rush about
比例,比例,bǐlì,proportion
币,幣,bì,currency
弊端,弊端,bìduān,drawback
编织,編織,biānzhī,weave
辨认,辨認,biànrèn,identify
标语,標語,biāoyǔ,slogan
病毒,病毒,bìngdú,virus
拨,撥,bō,dial
播放,播放,bōfàng,broadcast
搏斗,搏鬥,bódòu,fight
补偿,補償,bǔcháng,compensate
不料,不料,bùliào,unexpectedly
不妨,不妨,bùfáng,might as well
不禁,不禁,bùjīn,can't help
不愧,不愧,bùkuì,be worthy of
不由得,不由得,bùyóude,can't help
步骤,步驟,bùzhòu,step
部署,部署,bùshǔ,deploy
才华,才華,cáihuá,talent
采纳,採納,cǎinà,adopt
彩虹,彩虹,cǎihóng,rainbow
踩,踩,cǎi,step on
残疾,殘疾,cánjí,disabled
惭愧,慚愧,cánkuì,ashamed
苍白,蒼白,cāngbái,pale
操劳,操勞,cāoláo,work hard
曹,曹,cáo,fuck
册,冊,cè,volume
测验,測驗,cèyàn,test
插手,插手,chāshǒu,interfere
拆,拆,chāi,tear down
搀,攙,chān,support with hand
缠,纏,chán,wind around
产业,產業,chǎnyè,industry
阐述,闡述,chǎnshù,expound
颤抖,顫抖,chàndǒu,tremble
超越,超越,chāoyuè,surpass
潮流,潮流,cháoliú,trend
潮湿,潮濕,cháoshī,humid
吵架,吵架,chǎojià,quarrel
车辆,車輛,chēliàng,vehicle
彻底,徹底,chèdǐ,thorough
沉淀,沉澱,chéndiàn,precipitate
沉闷,沉悶,chénmèn,dull
称号,稱號,chēnghào,title
承包,承包,chéngbāo,contract
城乡,城鄉,chéngxiāng,urban and rural
诚恳,誠懇,chéngkěn,sincere
承诺,承諾,chéngnuò,promise
迟缓,遲緩,chíhuǎn,slow
持久,持久,chíjiǔ,lasting
尺度,尺度,chǐdù,scale
冲击,衝擊,chōngjī,impact
崇拜,崇拜,chóngbài,worship
崇高,崇高,chónggāo,lofty
抽签,抽籤,chōuqiān,draw lots
丑恶,醜惡,chǒu'è,ugly
出路,出路,chūlù,way out
除草,除草,chúcǎo,weed
储备,儲備,chǔbèi,reserve
储存,儲存,chǔcún,store
触犯,觸犯,chùfàn,violate
传染,傳染,chuánrǎn,infect
传授,傳授,chuánshòu,teach
串,串,chuàn,string
窗帘,窗簾,chuānglián,curtain
创举,創舉,chuàngjǔ,pioneering work
创新,創新,chuàngxīn,innovate
创作,創作,chuàngzuò,create
吹牛,吹牛,chuīniú,boast
此外,此外,cǐwài,besides
刺激,刺激,cìjī,stimulate
匆忙,匆忙,cōngmáng,hurried
从容,從容,cóngróng,calm
凑合,湊合,còuhe,make do
粗糙,粗糙,cūcāo,rough
催促,催促,cuīcù,urge
摧残,摧殘,cuīcán,devastate
挫折,挫折,cuòzhé,setback
搭配,搭配,dāpèi,match
打击,打擊,dǎjī,strike
大不了,大不了,dàbuliǎo,at most
大伙,大夥,dàhuǒ,everyone
大力,大力,dàlì,energetically
大肆,大肆,dàsì,wantonly
大体,大體,dàtǐ,roughly
大意,大意,dàyì,careless
呆,呆,dāi,stay
逮捕,逮捕,dàibǔ,arrest
担保,擔保,dānbǎo,guarantee
胆怯,膽怯,dǎnqiè,timid
淡季,淡季,dànjì,off season
当初,當初,dāngchū,at first
党,黨,dǎng,party
档案,檔案,dàng'àn,file
刀,刀,dāo,knife
倒霉,倒霉,dǎoméi,unlucky
盗窃,盜竊,dàoqiè,steal
登记,登記,dēngjì,register
等候,等候,děnghòu,wait
敌人,敵人,dírén,enemy
地步,地步,dìbù,extent
地势,地勢,dìshì,terrain
递减,遞減,dìjiǎn,decrease
颠倒,顛倒,diāndǎo,reverse
奠定,奠定,diàndìng,establish
电子,電子,diànzǐ,electronic
钓,釣,diào,fish
雕刻,雕刻,diāokè,carve
跌,跌,diē,fall
丁,丁,dīng,male adult
订阅,訂閱,dìngyuè,subscribe
丢人,丟人,diūrén,lose face
动荡,動盪,dòngdàng,turbulent
动态,動態,dòngtài,dynamic
冻,凍,dòng,freeze
洞,洞,dòng,hole
督促,督促,dūcù,supervise
赌博,賭博,dǔbó,gamble
堵塞,堵塞,dǔsè,block
端,端,duān,end
短暂,短暫,duǎnzàn,brief
断绝,斷絕,duànjué,break off
兑现,兌現,duìxiàn,cash
蹲,蹲,dūn,squat
盾,盾,dùn,shield
多元化,多元化,duōyuánhuà,diversification
恶心,噁心,ěxīn,nauseous
发愁,發愁,fāchóu,worry
发呆,發呆,fādāi,be in a daze
发财,發財,fācái,get rich
发育,發育,fāyù,develop
法官,法官,fǎguān,judge
翻身,翻身,fānshēn,turn over
繁华,繁華,fánhuá,prosperous
烦躁,煩躁,fánzào,restless
反驳,反駁,fǎnbó,refute
反映,反映,fǎnyìng,reflect
犯罪,犯罪,fànzuì,crime
范畴,範疇,fànchóu,category
防御,防禦,fángyù,defend
房租,房租,fángzū,rent
仿造,仿造,fǎngzào,imitate
非法,非法,fēifǎ,illegal
肥胖,肥胖,féipàng,obese
废除,廢除,fèichú,abolish
费用,費用,fèiyòng,cost
分辨,分辨,fēnbiàn,distinguish
分歧,分歧,fēnqí,divergence
分手,分手,fēnshǒu,break up
分裂,分裂,fēnliè,split
愤怒,憤怒,fènnù,angry
丰富,豐富,fēngfù,rich
丰收,豐收,fēngshōu,good harvest
锋利,鋒利,fēnglì,sharp
疯狂,瘋狂,fēngkuáng,crazy
否决,否決,fǒujué,veto
扶,扶,fú,support
